,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Bolivia (Plurinational State of)","Data source","Wine","0.14","0.14","0.14","0.16","0.13","0.13","0.16","0.14","0.16","0.16"
"Bolivia (Plurinational State of)","Data source","Beer","","","","","","2.40","2.38","2.44","2.52","2.63"
"Bolivia (Plurinational State of)","Data source","Other alcoholic beverages","0.08","0.08","0.08","0.07","0.07","0.05","0.05","0.04","0.04","0.02"
"Bolivia (Plurinational State of)","Data source","All types","2.98","3.00","3.05","3.12","3.15","3.17","3.21","3.24","3.30","3.37"
"Bosnia and Herzegovina","Data source","Wine","0.47","0.47","0.48","0.45","0.46","0.47","0.46","0.42","0.42","0.44"
"Bosnia and Herzegovina","Data source","Beer","4.19","4.19","4.01","3.85","3.72","3.52","3.53","3.69","3.55","3.39"
"Bosnia and Herzegovina","Data source","Spirits","0.62","0.61","0.60","0.57","0.56","0.55","0.55","0.58","0.61","0.61"
"Bosnia and Herzegovina","Data source","All types","5.46","5.44","5.25","5.04","4.90","4.69","4.69","4.83","4.71","4.57"
"Bosnia and Herzegovina","Data source","Other alcoholic beverages","0.17","0.17","0.17","0.16","0.15","0.15","0.15","0.14","0.14","0.13"
"Botswana","Data source","All types","5.98","5.89","5.77","6.14","6.14","6.04","5.07","5.46","6.24","5.70"
"Botswana","Data source","Other alcoholic beverages","1.64","1.64","1.64","1.64","1.64","1.64","1.64","2.11","1.87","2.05"
"Botswana","Data source","Beer","2.93","2.93","2.93","3.34","3.33","3.15","2.79","2.39","2.39","2.48"
"Botswana","Data source","Wine","0.46","0.36","0.24","0.28","0.29","0.36","0.34","0.36","0.41","0.50"
"Botswana","Data source","Spirits","0.96","0.96","0.96","0.89","0.88","0.89","0.30","0.60","1.58","0.67"
"Brazil","Data source","Spirits","2.00","2.07","2.12","2.17","2.26","2.35","2.46","2.53","2.60","2.63"
"Brazil","Data source","Beer","3.84","3.84","3.86","3.94","4.10","4.27","4.10","4.30","4.21","4.20"
"Brazil","Data source","Wine","","","","","","0.25","0.28","0.25","0.29","0.30"
"Brazil","Data source","Wine","0.24","0.24","0.24","0.23","0.24","","","","",""
"Brazil","Data source","Other alcoholic beverages","0.04","0.04","0.04","0.03","0.03","0.03","0.03","0.03","0.03","0.03"
"Brazil","Data source","All types","6.12","6.19","6.25","6.37","6.63","6.91","6.86","7.12","7.13","7.16"
"Brunei Darussalam","Data source","Beer","0.66","0.66","0.66","0.66","0.66","0.66","0.67","0.87","0.84","0.19"
"Brunei Darussalam","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","","","","",""
"Brunei Darussalam","Data source","Wine","0.04","0.04","0.03","0.02","0.01","0.01","0.02","0.04","0.03","0.01"
"Brunei Darussalam","Data source","Spirits","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.05","0.03","0.05"
"Brunei Darussalam","Data source","Other alcoholic beverages","","","","","","0.00","0.00","0.00","0.00","0.00"
"Brunei Darussalam","Data source","All types","0.69","0.69","0.69","0.67","0.67","0.67","0.69","0.96","0.91","0.25"
"Bulgaria","Data source","Wine","1.72","2.07","1.72","2.01","1.95","1.80","1.52","1.93","0.95","1.11"
"Bulgaria","Data source","All types","11.18","11.53","10.93","11.13","10.89","10.30","10.32","10.88","9.88","9.82"
"Bulgaria","Data source","Beer","4.44","4.44","4.32","4.37","4.22","4.04","4.24","4.28","4.08","4.00"
"Bulgaria","Data source","Spirits","4.96","4.85","4.72","4.61","4.62","4.39","4.50","4.62","4.81","4.67"
"Bulgaria","Data source","Other alcoholic beverages","","","","","","0.08","0.06","0.05","0.04","0.04"
