,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Papua New Guinea","Data source","Wine","0.06","0.06","0.06","0.05","0.06","0.02","0.02","0.03","0.02","0.01"
"Papua New Guinea","Data source","Other alcoholic beverages","","","","","","0.00","0.00","0.00","0.00","0.00"
"Papua New Guinea","Data source","Spirits","0.60","0.60","0.60","0.60","0.67","0.66","0.05","0.04","0.00","0.01"
"Papua New Guinea","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","","","","",""
"Papua New Guinea","Data source","Beer","0.60","0.60","0.71","0.69","0.63","0.68","0.74","0.87","0.79","0.70"
"Paraguay","Data source","All types","5.47","5.54","5.49","5.34","5.21","5.39","5.62","5.80","6.14","6.27"
"Paraguay","Data source","Beer","3.27","3.27","3.23","3.14","3.12","3.16","3.19","3.20","3.31","3.27"
"Paraguay","Data source","Wine","0.59","0.60","0.61","0.52","0.41","0.47","0.64","0.79","0.96","1.14"
"Paraguay","Data source","Spirits","","","","","","1.70","1.74","1.75","1.82","1.82"
"Paraguay","Data source","Other alcoholic beverages","0.03","0.07","0.07","0.06","0.06","0.06","0.05","0.05","0.05","0.04"
"Paraguay","Data source","Spirits","1.59","1.60","1.59","1.62","1.62","","","","",""
"Peru","Data source","All types","5.74","5.74","5.79","5.64","5.68","5.51","5.27","5.35","5.22","5.23"
"Peru","Data source","Wine","0.46","0.46","0.43","0.43","0.43","0.43","0.42","0.41","0.37","0.35"
"Peru","Data source","Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Peru","Data source","Beer","3.01","3.01","3.09","3.13","3.16","3.19","3.17","3.28","3.17","3.20"
"Peru","Data source","Spirits","2.26","2.26","2.26","2.07","2.08","1.88","1.67","1.65","1.67","1.68"
"Philippines","Data source","All types","4.85","4.91","4.75","4.53","4.52","4.61","4.61","4.96","4.85","4.73"
"Philippines","Data source","Wine","0.03","0.03","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"Philippines","Data source","Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.01","0.02","0.03","0.12","0.14"
"Philippines","Data source","Beer","1.47","1.47","1.38","1.23","1.11","1.10","1.09","1.25","1.28","1.29"
"Philippines","Data source","Spirits","3.34","3.40","3.33","3.26","3.37","3.47","3.48","3.67","3.43","3.29"
"Poland","Data source","All types","10.96","10.62","10.53","10.43","10.47","10.45","10.80","10.21","10.24","10.07"
"Poland","Data source","Wine","0.88","0.85","0.87","0.83","0.89","0.89","0.82","0.83","0.91","0.98"
"Poland","Data source","Spirits","4.36","3.88","3.87","3.76","3.76","3.76","4.23","3.53","3.77","3.77"
"Poland","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Poland","Data source","Beer","5.72","5.90","5.78","5.84","5.82","5.80","5.74","5.84","5.56","5.32"
"Portugal","Data source","All types","10.37","10.37","10.37","10.37","10.34","10.20","9.52","9.76","10.86","11.26"
"Portugal","Data source","Beer","2.62","2.62","2.62","2.62","2.57","2.47","2.58","2.64","2.75","3.03"
"Portugal","Data source","Wine","","","","","","5.96","5.16","5.34","6.37","6.44"
"Portugal","Data source","Wine","6.04","6.04","6.04","6.04","6.05","","","","",""
"Portugal","Data source","Spirits","1.34","1.34","1.34","1.34","1.34","1.40","1.40","1.40","1.40","1.41"
"Portugal","Data source","Other alcoholic beverages","0.37","0.37","0.37","0.37","0.37","0.38","0.38","0.38","0.32","0.38"
"Qatar","Data source","All types","0.96","0.99","1.00","1.01","1.03","1.01","1.03","1.03","1.05","1.07"
"Qatar","Data source","Beer","0.29","0.29","0.29","0.29","0.28","0.28","0.29","0.31","0.30","0.31"
"Qatar","Data source","Wine","0.07","0.08","0.08","0.08","0.08","0.08","0.09","0.09","0.09","0.09"
"Qatar","Data source","Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.00","0.00","0.01"
"Qatar","Data source","Spirits","0.59","0.61","0.63","0.63","0.66","0.63","0.65","0.63","0.66","0.66"
"Republic of Korea","Data source","All types","7.74","7.74","7.31","7.94","8.27","8.03","8.77","8.98","8.86","8.90"
"Republic of Korea","Data source","Beer","1.72","1.72","1.80","1.89","1.90","","","","",""
"Republic of Korea","Data source","Other alcoholic beverages","5.66","5.66","5.13","5.65","5.90","5.69","6.14","6.50","6.42","6.48"
"Republic of Korea","Data source","Beer","","","","","","1.91","2.10","1.98","1.93","1.89"
"Republic of Korea","Data source","Wine","0.15","0.15","0.14","0.15","0.17","0.15","0.15","0.13","0.13","0.14"
"Republic of Korea","Data source","Spirits","0.22","0.22","0.24","0.24","0.30","0.28","0.38","0.37","0.38","0.40"
"Republic of Moldova","Data source","Wine","3.57","3.57","3.44","3.35","2.68","2.75","3.19","3.49","3.66","2.98"
"Republic of Moldova","Data source","Spirits","2.25","2.25","2.25","2.09","2.34","2.83","3.13","2.55","2.07","1.68"
"Republic of Moldova","Data source","All types","7.45","7.45","7.44","7.22","6.76","7.40","8.48","8.30","8.21","6.92"
"Republic of Moldova","Data source","Beer","1.53","1.53","1.51","1.50","1.52","1.62","1.78","1.95","1.83","1.65"
"Republic of Moldova","Data source","Other alcoholic beverages","0.10","0.10","0.25","0.27","0.22","0.20","0.38","0.31","0.65","0.62"
"North Macedonia","Data source","Wine","1.03","1.03","1.03","1.04","1.04","1.04","1.04","1.04","1.06","1.06"
"North Macedonia","Data source","Other alcoholic beverages","0.03","0.04","0.04","0.03","0.03","0.03","0.03","0.02","0.02","0.02"
"North Macedonia","Data source","All types","3.90","3.89","3.77","3.63","3.57","3.56","3.61","3.54","3.52","3.53"
"North Macedonia","Data source","Beer","1.93","1.93","1.84","1.70","1.67","1.65","1.71","1.66","1.60","1.59"
"North Macedonia","Data source","Spirits","0.90","0.89","0.87","0.85","0.83","0.83","0.83","0.81","0.84","0.86"
"Romania","Data source","All types","10.96","10.96","10.14","9.57","9.45","9.48","9.65","9.66","9.58","10.01"
"Romania","Data source","Beer","5.33","5.33","5.28","5.25","5.22","4.86","5.14","5.35","5.00","4.83"
"Romania","Data source","Wine","3.38","3.38","3.09","2.55","2.70","3.21","3.08","3.00","3.03","3.16"
"Romania","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Romania","Data source","Spirits","2.25","2.25","1.77","1.77","1.54","1.42","1.42","1.30","1.54","2.02"
"Russian Federation","Data source","All types","7.29","7.28","7.15","7.73","8.06","8.86","9.77","10.56","10.75","10.82"
"Russian Federation","Data source","Wine","0.97","0.97","0.97","0.85","0.84","0.84","0.83","0.95","0.95","1.06"
"Russian Federation","Data source","Other alcoholic beverages","0.12","0.12","0.12","0.12","0.24","0.24","0.12","0.12","0.24","0.24"
"Russian Federation","Data source","Beer","3.04","3.03","2.91","3.38","3.49","3.83","4.17","4.15","4.14","4.12"
"Russian Federation","Data source","Spirits","3.16","3.16","3.15","3.38","3.49","3.95","4.65","5.34","5.44","5.41"
"Rwanda","Data source","All types","6.35","6.35","6.33","6.27","6.31","6.50","6.15","6.43","6.66","7.13"
"Rwanda","Data source","Wine","0.03","0.03","0.03","0.02","0.02","0.01","0.01","0.01","0.01","0.01"
"Rwanda","Data source","Other alcoholic beverages","6.00","6.00","6.00","6.00","6.00","6.17","5.74","6.08","6.38","6.92"
"Rwanda","Data source","Beer","0.23","0.23","0.21","0.24","0.23","0.19","0.21","0.20","0.18","0.16"
"Rwanda","Data source","Spirits","0.09","0.09","0.09","0.02","0.07","0.13","0.19","0.14","0.09","0.04"
"Saint Kitts and Nevis","Data source","All types","8.84","8.72","8.71","8.56","8.37","8.49","8.39","8.43","8.51","8.51"
"Saint Kitts and Nevis","Data source","Other alcoholic beverages","0.21","0.20","0.19","0.20","0.20","0.18","0.17","0.17","0.21","0.20"
"Saint Kitts and Nevis","Data source","Beer","3.73","3.73","3.72","3.38","3.25","3.32","3.34","3.35","3.37","3.39"
"Saint Kitts and Nevis","Data source","Wine","1.02","0.99","0.94","0.86","0.83","0.75","0.70","0.72","0.85","0.99"
"Saint Kitts and Nevis","Data source","Spirits","3.89","3.80","3.86","4.11","4.10","4.23","4.17","4.19","4.09","3.93"
"Saint Lucia","Data source","Wine","0.40","0.40","0.66","0.52","0.62","0.76","0.64","0.90","0.90","0.98"
"Saint Lucia","Data source","Other alcoholic beverages","0.60","0.60","0.59","0.60","0.45","0.45","0.44","0.49","0.53","0.58"
"Saint Lucia","Data source","All types","9.30","9.30","9.67","9.43","9.23","9.18","8.93","9.62","9.94","10.33"
"Saint Lucia","Data source","Beer","3.21","3.21","3.42","3.40","3.32","3.24","3.24","3.24","3.23","3.26"
"Saint Lucia","Data source","Spirits","5.10","5.10","4.99","4.92","4.83","4.74","4.61","4.98","5.27","5.51"
"Saint Vincent and the Grenadines","Data source","Beer","2.52","2.52","2.74","2.70","2.58","2.48","2.41","2.34","2.36","2.32"
"Saint Vincent and the Grenadines","Data source","Spirits","4.48","4.52","4.49","4.42","4.21","4.10","4.15","4.15","4.27","4.22"
"Saint Vincent and the Grenadines","Data source","All types","7.48","7.51","7.81","7.78","7.41","7.12","6.96","6.81","7.04","7.19"
"Saint Vincent and the Grenadines","Data source","Wine","0.24","0.25","0.36","0.44","0.44","0.37","0.24","0.19","0.30","0.52"
"Saint Vincent and the Grenadines","Data source","Other alcoholic beverages","0.23","0.21","0.21","0.22","0.18","0.17","0.16","0.13","0.12","0.14"
"Samoa","Data source","All types","2.18","2.18","2.06","2.29","2.10","2.05","1.84","2.10","2.10","2.96"
"Samoa","Data source","Beer","2.01","2.01","1.87","2.09","1.90","1.90","1.82","2.09","1.94","2.57"
"Samoa","Data source","Spirits","0.17","0.17","0.17","0.18","0.17","0.12","0.00","0.00","0.12","0.35"
"Samoa","Data source","Wine","0.00","0.00","0.01","0.02","0.03","0.03","0.02","0.01","0.03","0.04"
"Samoa","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Sao Tome and Principe","Data source","Beer","0.42","0.42","0.42","0.70","0.76","0.84","0.92","0.47","0.69","0.81"
"Sao Tome and Principe","Data source","Spirits","0.23","0.23","0.23","0.27","0.34","0.30","0.00","0.00","0.51","0.53"
"Sao Tome and Principe","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Sao Tome and Principe","Data source","All types","4.23","4.33","4.33","4.74","5.00","5.63","5.40","5.65","6.31","5.00"
"Sao Tome and Principe","Data source","Wine","3.58","3.68","3.68","3.77","3.90","4.49","4.48","5.18","5.11","3.66"
"Saudi Arabia","Data source","Spirits","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Saudi Arabia","Data source","All types","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Saudi Arabia","Data source","Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Saudi Arabia","Data source","Other alcoholic beverages","","","","","","0.00","0.00","0.00","0.00","0.00"
"Saudi Arabia","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","","","","",""
"Saudi Arabia","Data source","Beer","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Senegal","Data source","Spirits","0.02","0.02","0.02","0.02","0.02","0.03","0.03","0.03","0.04","0.03"
"Senegal","Data source","All types","0.25","0.25","0.23","0.23","0.19","0.19","0.19","0.19","0.21","0.18"
"Senegal","Data source","Wine","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02"
"Senegal","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Senegal","Data source","Beer","0.21","0.21","0.19","0.19","0.14","0.14","0.14","0.14","0.15","0.14"
"Serbia","Data source","Beer","3.24","3.24","3.12","3.07","3.10","2.95","3.06","3.25","3.32","3.32"
"Serbia","Data source","Spirits","2.37","2.34","2.33","2.30","2.27","2.26","2.25","2.28","2.29","2.29"
"Serbia","Data source","Other alcoholic beverages","0.22","0.24","0.23","0.23","0.23","0.22","0.22","0.23","0.21","0.22"
"Serbia","Data source","All types","7.45","7.62","7.40","7.31","7.20","7.19","7.94","8.78","8.55","8.87"
"Serbia","Data source","Wine","1.62","1.80","1.72","1.70","1.60","1.76","2.41","3.02","2.72","3.04"
"Seychelles","Data source","Beer","4.11","4.11","3.80","3.94","3.89","3.79","3.89","4.34","3.91","2.77"
"Seychelles","Data source","Spirits","4.62","4.41","4.31","4.24","4.07","4.01","3.86","3.95","3.33","2.36"
"Seychelles","Data source","All types","9.48","9.36","8.88","8.93","8.70","8.44","8.32","8.89","7.83","5.54"
"Seychelles","Data source","Other alcoholic beverages","0.25","0.35","0.33","0.28","0.27","0.19","0.10","0.07","0.13","0.08"
"Seychelles","Data source","Wine","0.49","0.49","0.46","0.47","0.47","0.46","0.47","0.52","0.47","0.33"
"Sierra Leone","Data source","Beer","0.17","0.17","0.14","0.10","0.12","0.12","0.22","0.18","0.17","0.16"
"Sierra Leone","Data source","Spirits","0.15","0.15","0.15","0.03","0.03","","","","",""
"Sierra Leone","Data source","Spirits","","","","","","0.02","0.00","0.00","0.02","0.02"
"Sierra Leone","Data source","All types","3.22","3.22","3.20","3.03","3.06","3.04","3.12","3.19","3.41","3.48"
"Sierra Leone","Data source","Wine","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.00"
"Sierra Leone","Data source","Other alcoholic beverages","2.90","2.90","2.90","2.90","2.90","2.90","2.90","3.00","3.21","3.29"
"Singapore","Data source","Beer","1.26","1.25","1.25","1.28","1.27","","","","",""
"Singapore","Data source","Spirits","0.24","0.27","0.24","0.25","0.25","0.24","0.30","0.29","0.28","0.27"
"Singapore","Data source","All types","1.81","1.85","1.80","1.84","1.82","1.84","1.86","1.94","1.89","1.84"
"Singapore","Data source","Wine","0.27","0.30","0.27","0.27","0.27","0.27","0.28","0.27","0.27","0.25"
"Singapore","Data source","Other alcoholic beverages","0.04","0.04","0.03","0.04","0.03","0.03","0.03","0.03","0.03","0.03"
"Singapore","Data source","Beer","","","","","","1.29","1.24","1.35","1.31","1.29"
"Slovakia","Data source","Beer","4.14","3.43","3.43","3.19","3.42","3.30","3.42","3.66","3.54","3.43"
"Slovakia","Data source","Spirits","4.14","4.38","4.13","4.37","4.25","4.13","4.13","4.36","4.48","4.61"
"Slovakia","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Slovakia","Data source","All types","10.30","10.05","9.69","9.91","10.27","10.26","9.90","10.14","10.27","10.16"
"Slovakia","Data source","Wine","2.01","2.25","2.13","2.36","2.60","2.83","2.36","2.12","2.24","2.13"
"Slovenia","Data source","Beer","","","","","","5.37","4.55","4.58","4.94","4.59"
"Slovenia","Data source","Beer","4.54","4.66","4.59","4.35","5.73","","","","",""
"Slovenia","Data source","Spirits","1.26","1.20","0.93","0.84","0.86","0.82","0.89","0.87","0.86","0.89"
"Slovenia","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Slovenia","Data source","All types","11.05","9.99","10.12","10.51","11.49","10.92","9.53","10.95","10.61","10.33"
"Slovenia","Data source","Wine","5.26","4.13","4.60","5.32","4.90","4.73","4.09","5.50","4.81","4.85"
"Solomon Islands","Data source","Beer","1.10","1.10","1.15","1.21","0.93","0.90","0.93","0.95","0.98","0.99"
"Solomon Islands","Data source","Spirits","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.00","0.03","0.07"
"Solomon Islands","Data source","All types","1.19","1.18","1.23","1.29","1.01","0.95","0.94","0.97","1.03","1.09"
"Solomon Islands","Data source","Wine","","","","","","0.02","0.01","0.01","0.02","0.03"
"Solomon Islands","Data source","Wine","0.06","0.05","0.06","0.06","0.05","","","","",""
"Solomon Islands","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Somalia","Data source","Beer","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Somalia","Data source","Spirits","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Somalia","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Somalia","Data source","All types","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Somalia","Data source","Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"South Africa","Data source","All types","7.21","7.19","7.34","7.26","7.20","7.21","7.21","7.22","7.17","7.07"
"South Africa","Data source","Beer","3.99","3.90","3.96","3.98","3.99","4.01","4.04","4.04","4.05","4.02"
"South Africa","Data source","Spirits","1.31","1.30","1.30","1.27","1.26","1.29","1.28","1.29","1.29","1.28"
"South Africa","Data source","Wine","","","","","","1.28","1.21","1.21","1.20","1.19"
"South Africa","Data source","Wine","1.21","1.32","1.40","1.38","1.36","","","","",""
"South Africa","Data source","Other alcoholic beverages","0.70","0.68","0.68","0.63","0.60","0.63","0.69","0.68","0.64","0.59"
"Spain","Data source","All types","10.73","10.39","10.85","10.81","10.35","7.85","8.55","8.60","8.74","8.94"
"Spain","Data source","Beer","4.67","4.57","4.50","4.31","4.17","4.31","4.13","4.12","4.11","4.09"
"Spain","Data source","Other alcoholic beverages","0.19","0.18","0.18","0.19","0.18","0.17","0.16","0.17","0.17","0.17"
"Spain","Data source","Wine","3.52","3.33","3.87","3.86","3.70","1.21","2.09","2.13","2.06","2.15"
"Spain","Data source","Spirits","2.34","2.30","2.30","2.46","2.31","2.16","2.18","2.18","2.41","2.53"
"Sri Lanka","Data source","Wine","0.01","0.01","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.00"
"Sri Lanka","Data source","Other alcoholic beverages","","","","","","0.05","0.06","0.06","0.05","0.04"
"Sri Lanka","Data source","All types","2.58","2.58","2.58","2.65","2.72","2.45","2.65","2.89","3.03","2.31"
"Sri Lanka","Data source","Beer","0.22","0.22","0.22","0.21","0.36","0.37","0.40","0.40","0.28","0.30"
"Sri Lanka","Data source","Spirits","2.32","2.32","2.32","2.38","2.31","2.03","2.18","2.42","2.70","1.97"
"Sri Lanka","Data source","Other alcoholic beverages","0.03","0.03","0.03","0.04","0.04","","","","",""
"Suriname","Data source","Beer","3.40","3.40","3.33","3.27","2.06","2.15","2.11","2.07","2.04","2.04"
"Suriname","Data source","Spirits","2.87","2.31","2.30","2.19","2.44","2.94","3.37","3.30","3.22","2.91"
"Suriname","Data source","Other alcoholic beverages","0.18","0.13","0.11","0.11","0.13","","","","",""
"Suriname","Data source","Other alcoholic beverages","","","","","","0.15","0.22","0.22","0.20","0.17"
"Suriname","Data source","All types","6.60","5.97","5.86","5.69","4.75","5.39","5.84","5.79","5.69","5.27"
"Suriname","Data source","Wine","0.14","0.12","0.12","0.11","0.12","0.14","0.13","0.20","0.23","0.14"
"Sweden","Data source","Beer","2.60","2.69","2.57","2.65","2.62","2.64","2.65","2.63","2.67","2.74"
"Sweden","Data source","Spirits","1.00","1.00","0.99","1.00","1.00","0.99","1.06","1.05","1.05","1.11"
"Sweden","Data source","Other alcoholic beverages","0.10","0.13","0.12","0.11","0.11","0.11","0.11","0.12","0.12","0.13"
"Sweden","Data source","All types","7.10","7.20","7.04","7.15","7.13","7.20","7.32","7.23","7.31","7.38"
"Sweden","Data source","Wine","3.40","3.38","3.36","3.39","3.40","","","","",""
"Sweden","Data source","Wine","","","","","","3.46","3.50","3.43","3.47","3.40"
"Switzerland","Data source","All types","9.41","9.17","9.16","9.28","9.62","","","","",""
"Switzerland","Data source","All types","","","","","","9.62","9.74","9.87","9.99","10.01"
"Switzerland","Data source","Wine","4.35","4.23","4.23","4.34","4.58","4.58","4.69","4.70","4.82","4.94"
"Switzerland","Data source","Other alcoholic beverages","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.12"
"Switzerland","Data source","Beer","3.17","3.17","3.05","3.05","3.17","3.17","3.17","3.17","3.17","3.18"
"Switzerland","Data source","Spirits","1.76","1.65","1.76","1.76","1.76","1.76","1.76","1.88","1.88","1.77"
"Syrian Arab Republic","Data source","Beer","0.02","0.02","0.02","0.02","0.03","0.02","0.02","0.02","0.09","0.11"
"Syrian Arab Republic","Data source","Spirits","0.11","0.14","0.10","0.15","0.20","0.17","0.13","0.19","0.50","0.65"
"Syrian Arab Republic","Data source","All types","0.13","0.16","0.12","0.18","0.23","0.19","0.15","0.21","0.60","0.77"
"Syrian Arab Republic","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Syrian Arab Republic","Data source","Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00"
"Tajikistan","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Tajikistan","Data source","Beer","0.38","0.38","0.39","0.35","0.36","0.36","0.40","0.37","0.37","0.29"
"Tajikistan","Data source","All types","0.85","0.86","0.89","0.88","0.92","0.83","0.80","0.77","0.71","0.68"
"Tajikistan","Data source","Wine","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Tajikistan","Data source","Spirits","0.45","0.46","0.48","0.51","0.54","0.46","0.38","0.39","0.32","0.37"
"Thailand","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","","","","",""
"Thailand","Data source","Beer","1.85","1.79","2.29","2.32","2.16","2.10","2.22","2.11","1.96","1.89"
"Thailand","Data source","All types","6.86","5.99","7.33","7.12","6.95","6.91","6.89","7.10","6.61","6.19"
"Thailand","Data source","Other alcoholic beverages","","","","","","0.00","0.00","0.00","0.00","0.00"
"Thailand","Data source","Wine","0.23","0.20","0.18","0.20","0.19","0.18","0.17","0.15","0.12","0.09"
"Thailand","Data source","Spirits","4.78","4.00","4.86","4.60","4.59","4.63","4.50","4.84","4.54","4.22"
"Timor-Leste","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.01","0.04","0.00","0.00","0.00","0.00"
"Timor-Leste","Data source","All types","0.41","0.42","0.42","0.44","0.41","0.41","0.48","0.48","0.44","0.10"
"Timor-Leste","Data source","Beer","0.27","0.27","0.27","0.29","0.29","0.27","0.37","0.38","0.32","0.02"
"Timor-Leste","Data source","Wine","0.09","0.10","0.10","0.10","0.06","","","","",""
"Timor-Leste","Data source","Wine","","","","","","0.06","0.11","0.10","0.07","0.06"
"Timor-Leste","Data source","Spirits","0.05","0.05","0.05","0.05","0.05","0.05","0.00","0.00","0.05","0.02"
"Togo","Data source","Beer","0.78","0.78","0.74","0.66","0.70","0.61","0.58","0.52","0.49","0.62"
"Togo","Data source","Spirits","0.20","0.20","0.21","0.22","0.24","0.24","0.24","0.21","0.21","0.20"
"Togo","Data source","All types","1.40","1.40","1.37","1.29","1.36","1.25","1.21","1.13","1.12","1.26"
"Togo","Data source","Other alcoholic beverages","0.33","0.33","0.33","0.33","0.33","0.33","0.33","0.33","0.36","0.37"
"Togo","Data source","Wine","0.09","0.09","0.09","0.08","0.08","0.07","0.07","0.06","0.06","0.07"
"Tonga","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Tonga","Data source","Spirits","0.11","0.11","0.11","0.11","0.11","","","","",""
"Tonga","Data source","All types","0.31","0.31","0.32","0.32","0.23","0.28","0.22","0.22","0.93","1.24"
"Tonga","Data source","Beer","0.03","0.03","0.03","0.03","0.03","0.16","0.08","0.08","0.54","0.92"
"Tonga","Data source","Wine","0.17","0.17","0.18","0.18","0.09","0.02","0.04","0.07","0.07","0.09"
"Tonga","Data source","Spirits","","","","","","0.11","0.11","0.07","0.33","0.23"
"Trinidad and Tobago","Data source","Spirits","2.65","2.49","2.41","2.48","2.71","2.74","2.73","2.80","2.72","2.71"
"Trinidad and Tobago","Data source","Other alcoholic beverages","0.09","0.09","0.10","0.10","0.11","0.11","0.09","0.09","0.08","0.08"
"Trinidad and Tobago","Data source","All types","5.81","5.69","5.58","5.72","5.97","5.90","5.85","5.89","5.79","5.79"
"Trinidad and Tobago","Data source","Beer","2.92","2.92","2.92","2.89","2.83","2.81","2.86","2.87","2.88","2.90"
"Trinidad and Tobago","Data source","Wine","0.16","0.18","0.16","0.24","0.31","0.24","0.17","0.13","0.11","0.10"
"Tunisia","Data source","Spirits","0.17","0.16","0.14","0.13","0.13","0.14","0.13","0.11","0.10","0.11"
"Tunisia","Data source","Other alcoholic beverages","0.03","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02"
"Tunisia","Data source","All types","1.51","1.49","1.54","1.54","1.50","1.48","1.40","1.35","1.25","1.26"
"Tunisia","Data source","Beer","0.99","0.99","1.01","1.03","1.05","0.96","0.86","0.85","0.85","0.87"
"Tunisia","Data source","Wine","0.32","0.32","0.36","0.36","0.30","0.36","0.39","0.37","0.28","0.26"
"Turkey","Data source","Beer","0.67","0.67","0.74","0.74","0.74","0.78","0.72","0.84","0.79","0.79"
"Turkey","Data source","Spirits","0.35","0.35","0.41","0.38","0.44","0.47","0.48","0.51","0.56","0.51"
"Turkey","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Turkey","Data source","All types","1.18","1.18","1.29","1.22","1.32","1.39","1.33","1.47","1.47","1.42"
"Turkey","Data source","Wine","0.16","0.16","0.14","0.11","0.13","0.13","0.13","0.12","0.13","0.13"
"Turkmenistan","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Turkmenistan","Data source","Beer","","","","","","0.64","0.64","0.45","0.29","0.25"
"Turkmenistan","Data source","All types","2.88","2.95","3.17","3.32","3.36","3.24","3.18","3.00","2.88","2.90"
"Turkmenistan","Data source","Beer","0.65","0.65","0.72","0.71","0.68","","","","",""
"Turkmenistan","Data source","Wine","1.25","1.27","1.33","1.39","1.39","1.32","1.25","1.26","1.28","1.33"
"Turkmenistan","Data source","Spirits","0.98","1.03","1.12","1.21","1.29","1.28","1.29","1.30","1.31","1.31"
"Tuvalu","Data source","Beer","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.00","0.13","0.11"
"Tuvalu","Data source","Spirits","0.22","0.22","0.22","0.22","0.22","0.22","0.22","0.11","0.06","0.35"
"Tuvalu","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Tuvalu","Data source","All types","0.93","0.93","0.93","0.98","1.42","1.82","1.56","1.86","1.31","0.97"
"Tuvalu","Data source","Wine","0.69","0.69","0.69","0.75","1.18","1.58","1.33","1.75","1.12","0.52"
"Uganda","Data source","Beer","0.85","0.85","0.86","0.86","0.86","0.91","0.81","0.94","0.94","0.90"
"Uganda","Data source","Spirits","0.50","0.66","0.66","0.61","0.61","0.60","0.59","0.59","0.59","0.58"
